"","square1","square2","square3","room","type_house","state","value","currency","dist"
"1669","44","18","13","1","ukrainian_brick","euro","68000","$","Holosiivsky"
"1670","107","52","15","3","monolyth_concrete","serious_repair_needed","103000","$","Holosiivsky"
"1671","48","19","12","1","monolyth_concrete","serious_repair_needed","45500","$","Holosiivsky"
"1672","87","62","9","3","Stalinka","satisfactory","170000","$","Shevchenkovsky"
"1673","72","42","8","3","ukrainian_panel","satisfactory","44500","$","Desniansky"
"1674","85","43","16","2","ukrainian_brick","euro","118000","$","Desniansky"
"1675","70","32","17","2","ukrainian_brick","from_builders(planirovka)","64500","$","Holosiivsky"
"1676","80","38","12","2","ukrainian_brick","euro","147900","$","Holosiivsky"
"1677","70","28","30","2","old_brick","euro","140000","$","Shevchenkovsky"
"1678","96","47","14","3","","euro","82900","$","Holosiivsky"
"1679","118","82","15","3","","euro","299000","$","Obolon"
"1680","37","20","8","1","panel","good","34000","$","Obolon"
"1681","209","180","20","5","","euro","260000","$","Shevchenkovsky"
"1682","138","100","20","3","","euro","128000","$","Solomensky"
"1683","78","40","20","2","monolyth_concrete","from_builders(planirovka)","180000","$","Pechersky"
"1684","388.2","174.9","35.6","6","before_revolution","euro","1650000","$","Shevchenkovsky"
"1685","65","39","12","2","Stalinka","euro","140000","$","Shevchenkovsky"
"1686","56.7","16-Mar","15","1","before_revolution","repair_unfinished","179900","$","Pechersky"
"1687","60","34","21","2","ukrainian_brick","from_builders(otdelka)","94900","$","Pechersky"
"1688","103","62","13","3","","from_builders(otdelka)","160000","$","Shevchenkovsky"
"1689","36","23","5","1","","euro","59500","$","Holosiivsky"
"1690","38","17","7","1","","euro","64000","$","Holosiivsky"
"1691","55.7","28-Sep","8-Apr","2","","satisfactory","44000","$","Sviatoshynsky"
"1692","60","40","6","3","","cosmetic_repair_needed","35000","$","Sviatoshynsky"
"1693","52","28","6","2","","good","33000","$","Solomensky"
"1694","59","41","7","3","","satisfactory","39500","$","Sviatoshynsky"
"1695","28","17","5","1","","satisfactory","26000","$","Desniansky"
"1696","56","33","7-Feb","2","","from_builders(otdelka)","72500","$","Shevchenkovsky"
"1697","31","18","7","1","","serious_repair_needed","39500","$","Pechersky"
"1698","35","16","7","1","","satisfactory","28800","$","Darnitsky"
"1699","36","15","9","1","","from_builders(otdelka)","31900","$","Darnitsky"
"1700","45.5","29","6","2","","good","31900","$","Dneprovsky"
"1701","37","22","7","2","","cosmetic_repair_needed","28000","$","Shevchenkovsky"
"1702","90","57","12","4","","satisfactory","77000","$","Obolon"
"1703","57","30","9","2","","from_builders(otdelka)","42900","$","Darnitsky"
"1704","32","17","7","1","","from_builders(otdelka)","32000","$","Podolsky"
"1705","47","16","14","1","","good","31900","$","Darnitsky"
"1706","73","41","8","3","","satisfactory","39000","$","Sviatoshynsky"
"1707","41","16","10","1","","good","51000","$","Dneprovsky"
"1708","72","43","9","3","","good","47000","$","Desniansky"
"1709","99","68","10","5","","good","54000","$","Desniansky"
"1710","37","15","10","1","","from_builders(otdelka)","32000","$","Podolsky"
"1711","43","29","7","2","","good","36500","$","Dneprovsky"
"1712","43","25","8","2","","good","27999","$","Shevchenkovsky"
"1713","204.5","113.5","21","6","monolyth_concrete","from_builders(otdelka)","15270000","uah","Holosiivsky"
"1714","55","25","12","1","ukrainian_brick","euro","109000","$","Holosiivsky"
"1715","75","52","8","3","Stalinka","cosmetic_repair_needed","53000","$","Obolon"
"1716","79","36","14","2","ukrainian_brick","from_builders(planirovka)","100000","$","Holosiivsky"
"1717","84","40","15","3","ukrainian_brick","from_builders(planirovka)","82000","$","Shevchenkovsky"
