"","square1","square2","square3","room","type_house","state","value","currency","dist"
"0","50","30","10","2","monolyth_concrete","euro","76000","$","Solomensky"
"1","104.58","61.72","13.39","3","","from_builders(otdelka)","290000","$","Holosiivsky"
"2","45","35","8","1","ukrainian_brick","euro","83900","$","Shevchenkovsky"
"3","46","23","10","1","monolyth_concrete","euro","73777","$","Darnitsky"
"4","100","55","18","3","ukrainian_brick","euro","129900","$","Darnitsky"
"5","92","42","14","3","panel","good","67000","$","Darnitsky"
"6","64","29","11","2","","good","52500","$","Obolon"
"7","138","88","19","3","ukrainian_brick","euro","150000","$","Sviatoshynsky"
"8","107","52","16","3","monolyth_concrete","from_builders(planirovka)","103000","$","Holosiivsky"
"9","89.09","50.5","12-Mar","3","","from_builders(otdelka)","2245070","uah","Solomensky"
"10","72","40","10","3","monolyth_concrete","euro","199000","$","Pechersky"
"11","73","41","16","3","ukrainian_brick","euro","95000","$","Dneprovsky"
"12","147","80","15","5","ukrainian_brick","euro","255000","$","Shevchenkovsky"
"13","150","74","30","3","Stalinka","euro","265000","$","Pechersky"
"14","95","30","30","3","monolyth_concrete","euro","191000","$","Pechersky"
"15","78","46","12","3","ukrainian_brick","euro","155000","$","Holosiivsky"
"16","43","18","10","1","monolyth_concrete","euro","45999","$","Podolsky"
"17","86","40","12","2","ukrainian_brick","euro","235000","$","Obolon"
"18","137","73","14","3","ukrainian_brick","from_builders(planirovka)","190000","$","Shevchenkovsky"
"19","44","16","14","1","ukrainian_brick","from_builders(planirovka)","34000","$","Holosiivsky"
"20","98","53","12","3","ukrainian_brick","euro","93500","$","Darnitsky"
"21","155","80","15","3","ukrainian_brick","euro","550000","$","Solomensky"
"22","118","80","20","3","","from_builders(planirovka)","345000","$","Shevchenkovsky"
"23","99","60","14","3","ukrainian_brick","from_builders(planirovka)","110000","$","Solomensky"
"24","105","58.4","12-Jun","3","ukrainian_brick","euro","91000","$","Sviatoshynsky"
"25","127","42","45","3","","euro","450000","$","Pechersky"
"26","85","40","16","2","monolyth_concrete","euro","135000","$","Dneprovsky"
"27","63","36","10","2","monolyth_concrete","from_builders(otdelka)","54800","$","Podolsky"
"28","70","44","9","3","panel","cosmetic_repair_needed","73000","$","Holosiivsky"
"29","120","45","15","4","ukrainian_brick","euro","270000","$","Pechersky"
"30","107","41","57","3","ukrainian_brick","euro","299000","$","Shevchenkovsky"
"31","78","48","14","2","ukrainian_brick","euro","168000","$","Obolon"
"32","26","16","5","1","ukrainian_brick","euro","27500","$","Desniansky"
"33","102","60","15","3","ukrainian_brick","euro","235000","$","Holosiivsky"
"34","110","70","30","3","ukrainian_brick","euro","350000","$","Darnitsky"
"35","70","41","9","3","","good","73000","$","Solomensky"
"36","85","40","16","2","monolyth_concrete","euro","135000","$","Dneprovsky"
"37","84","50","10","3","","euro","129000","$","Pechersky"
"38","65","30","12","2","","euro","70000","$","Holosiivsky"
"39","60","35","10","2","","from_builders(otdelka)","37900","$","Desniansky"
"40","65","34","12","2","ukrainian_brick","from_builders(planirovka)","78500","$","Dneprovsky"
"41","82","35","12","2","monolyth_concrete","from_builders(planirovka)","68000","$","Holosiivsky"
"42","75","59","10","3","Stalinka","euro","68000","$","Solomensky"
"43","76","37","14","2","ukrainian_brick","from_builders(planirovka)","105000","$","Dneprovsky"
"44","54","20","15","1","ukrainian_brick","from_builders(planirovka)","99000","$","Dneprovsky"
"45","25","16","5","1","monolyth_concrete","euro","27500","$","Desniansky"
"46","32","20","5","1","ukrainian_brick","euro","38500","$","Darnitsky"
"47","64","31","12","2","ukrainian_panel","euro","72000","$","Darnitsky"
"48","78","48","14","2","ukrainian_brick","euro","175000","$","Obolon"
"49","42","22","10","1","monolyth_concrete","euro","68000","$","Solomensky"
"50","50","28","6","2","ukrainian_panel","good","64500","$","Obolon"
"51","155","100","29","3","ukrainian_brick","good","169000","$","Obolon"
"52","25","16","5","1","monolyth_concrete","euro","27500","$","Desniansky"
"53","138","88","19","3","ukrainian_brick","euro","150000","$","Sviatoshynsky"
"54","40","16","10","1","ukrainian_brick","from_builders(planirovka)","75000","$","Shevchenkovsky"
"55","63","36","10","2","ukrainian_brick","from_builders(planirovka)","54800","$","Podolsky"
"56","169","73","27","3","","from_builders(otdelka)","399000","$","Shevchenkovsky"
"57","110","80","30","3","","euro","369000","$","Shevchenkovsky"
"58","58","25","15","5","","euro","135000","$","Pechersky"
"59","36","15","12","1","","from_builders(planirovka)","36000","$","Solomensky"
"60","60","41","6","3","old_brick","satisfactory","47900","$","Shevchenkovsky"
"61","58","30","10","2","ukrainian_brick","from_builders(planirovka)","65000","$","Holosiivsky"
"62","125","68","30","3","monolyth_concrete","euro","179000","$","Shevchenkovsky"
"63","59","37","8","2","","good","81900","$","Shevchenkovsky"
"64","105","60","30","3","","euro","115000","$","Podolsky"
"65","93","60","25","2","","euro","170000","$","Solomensky"
"66","68","48","7","3","panel","good","55000","$","Dneprovsky"
"67","70","42","9","3","ukrainian_brick","good","85000","$","Dneprovsky"
"68","57","41","6","3","old_brick","good","49000","$","Shevchenkovsky"
"69","66","41","7","3","panel","good","44000","$","Dneprovsky"
"70","31","15","6","1","","good","46000","$","Shevchenkovsky"
"71","49.3","29","7-Jun","2","Stalinka","satisfactory","62000","$","Pechersky"
"72","32","18","5","1","","good","28000","$","Solomensky"
"73","60","43","8","3","panel","cosmetic_repair_needed","39000","$","Solomensky"
"74","64","38","7","3","panel","good","52900","$","Holosiivsky"
"75","94","42","14","2","ukrainian_brick","from_builders(otdelka)","72000","$","Dneprovsky"
"76","52","29","8-Apr","2","ukrainian_panel","satisfactory","39500","$","Desniansky"
"77","69","38","10","3","ukrainian_brick","satisfactory","45000","$","Solomensky"
"78","60","40","12","2","monolyth_concrete","from_builders(otdelka)","46900","$","Podolsky"
"79","53","25","12","1","","euro","81000","$","Dneprovsky"
"80","39","17","7","1","ukrainian_brick","from_builders(otdelka)","38000","$","Holosiivsky"
"81","39","18","7","1","old_brick","good","37000","$","Dneprovsky"
"82","85","42","10","3","ukrainian_panel","euro","75000","$","Darnitsky"
"83","60","17","21","2","ukrainian_brick","euro","94000","$","Sviatoshynsky"
"84","120","1","1","3","ukrainian_brick","euro","120000","$","Shevchenkovsky"
"85","92","60","17","3","ukrainian_panel","good","64900","$","Darnitsky"
"86","74","43","9","3","panel","good","52500","$","Podolsky"
"87","46","19","12","1","monolyth_concrete","from_builders(otdelka)","49500","$","Dneprovsky"
"88","86","41","21","2","ukrainian_brick","euro","190000","$","Darnitsky"
"89","70","42","8","3","","euro","63000","$","Darnitsky"
"90","45","29","6","2","ukrainian_brick","euro","53900","$","Podolsky"
"91","54","24","18","2","ukrainian_brick","from_builders(otdelka)","56900","$","Sviatoshynsky"
"92","60","30","10","2","Stalinka","euro","135000","$","Pechersky"
"93","88","44","10","3","ukrainian_brick","good","85000","$","Holosiivsky"
"94","72","30-Apr","21-Aug","2","","from_builders(otdelka)","3232800","uah","Shevchenkovsky"
"95","41","18","14","1","monolyth_concrete","from_builders(otdelka)","23737","$","Sviatoshynsky"
"96","70","46","8","3","panel","good","56000","$","Darnitsky"
"97","80","30","30","3","Stalinka","euro","196000","$","Pechersky"
"98","50","18","12","1","","euro","65500","$","Darnitsky"
"99","38","14","13","1","monolyth_concrete","from_builders(otdelka)","19920","$","Shevchenkovsky"
"100","56","32","15","2","ukrainian_brick","from_builders(otdelka)","778160","uah","Sviatoshynsky"
"101","31","15","8","1","panel","euro","31900","$","Podolsky"
"102","60","19","25","1","ukrainian_brick","euro","118500","$","Solomensky"
"103","99","57","28","3","ukrainian_brick","from_builders(planirovka)","93000","$","Dneprovsky"
"104","32","16","7","1","panel","satisfactory","27900","$","Obolon"
"105","51","31","8","2","panel","euro","50000","$","Obolon"
"106","36","19","7","1","panel","good","41000","$","Obolon"
"107","80","41","10","3","ukrainian_brick","good","107000","uah","Obolon"
"108","51","14","20","1","","euro","82000","$","Solomensky"
"109","82","38","17","2","ukrainian_brick","from_builders(planirovka)","147600","$","Podolsky"
"110","40","20","12","1","monolyth_concrete","serious_repair_needed","37500","$","Dneprovsky"
"111","86","50","28","2","ukrainian_brick","euro","98200","$","Darnitsky"
"112","83","45","17","3","","from_builders(otdelka)","72000","$","Dneprovsky"
"113","130","97.3","14","4","Stalinka","good","320000","$","Pechersky"
"114","109.2","62","16","3","ukrainian_brick","euro","179000","$","Dneprovsky"
"115","86","39.6","12","2","ukrainian_brick","euro","235000","$","Obolon"
"116","49","29","8","2","panel","satisfactory","36500","$","Podolsky"
"117","47","27","8","2","panel","good","50000","$","Podolsky"
"118","30","13","6","1","old_brick","good","29900","$","Podolsky"
"119","155","90","25","4","","euro","380000","$","Obolon"
"120","29","17","6","1","","serious_repair_needed","24000","$","Podolsky"
"121","43","18","10","1","","good","36700","$","Desniansky"
"122","41","15","14","1","monolyth_concrete","from_builders(otdelka)","472880","uah","Sviatoshynsky"
"123","33","17","6","1","ukrainian_brick","satisfactory","27500","$","Solomensky"
"124","52.5","19","15","1","monolyth_concrete","serious_repair_needed","48000","$","Holosiivsky"
"125","87","37","16","2","monolyth_concrete","serious_repair_needed","83600","$","Solomensky"
"126","97","55","20","3","ukrainian_brick","euro","199900","$","Obolon"
"127","56","30","10","2","Stalinka","cosmetic_repair_needed","170000","$","Pechersky"
"128","51","36","6","2","monolyth_concrete","euro","155000","$","Shevchenkovsky"
"129","36","21","6","2","monolyth_concrete","good","38000","$","Obolon"
"130","43","28","6","2","old_brick","cosmetic_repair_needed","40000","$","Solomensky"
"131","82","45","10","3","ukrainian_panel","good","67000","$","Darnitsky"
"132","62","42","8","3","ukrainian_panel","good","54900","$","Dneprovsky"
"133","29","15","7","1","monolyth_concrete","good","26000","$","Podolsky"
"134","65","43","7","3","panel","euro","50000","$","Sviatoshynsky"
"135","56","32","9","2","ukrainian_panel","euro","49900","$","Desniansky"
"136","93","37","30","2","monolyth_concrete","euro","165000","$","Podolsky"
"137","65","28","13","1","monolyth_concrete","euro","116900","$","Pechersky"
"138","85","42","17","2","monolyth_concrete","from_builders(planirovka)","99000","$","Podolsky"
"139","119","52","36","3","ukrainian_brick","euro","259999","$","Pechersky"
"140","36","16","10","1","ukrainian_brick","euro","32999","$","Sviatoshynsky"
"141","39.5","15","13","1","ukrainian_brick","euro","30499","$","Sviatoshynsky"
"142","26","13","7","1","ukrainian_brick","euro","24499","$","Sviatoshynsky"
"143","129","100","20","4","monolyth_concrete","euro","170000","$","Solomensky"
"144","32.2","18","6","1","","good","31000","$","Solomensky"
"145","54","27","13","1","","euro","110000","$","Darnitsky"
"146","70","30","18","2","","euro","179000","$","Pechersky"
"147","87","32","25","3","ukrainian_brick","euro","110000","$","Darnitsky"
"148","63","30","14","2","monolyth_concrete","euro","67500","$","Darnitsky"
"149","53.6","21","14","1","monolyth_concrete","euro","63500","$","Darnitsky"
"150","31","17","5","1","monolyth_concrete","euro","45500","$","Darnitsky"
"151","80","35","20","2","ukrainian_brick","euro","163000","$","Shevchenkovsky"
"152","125","67","16","4","monolyth_concrete","euro","645000","$","Pechersky"
"153","36","17","5","1","monolyth_concrete","euro","53500","$","Holosiivsky"
"154","86","40","20","3","monolyth_concrete","from_builders(planirovka)","57000","$","Shevchenkovsky"
"155","250","100","50","4","before_revolution","euro","450000","$","Shevchenkovsky"
"156","43","18","10","1","ukrainian_panel","euro","45999","$","Podolsky"
"157","63","36","10","2","monolyth_concrete","from_builders(planirovka)","49888","$","Podolsky"
"158","80","54","10","3","before_revolution","serious_repair_needed","94000","$","Podolsky"
"159","42","15","15","1","monolyth_concrete","euro","122000","$","Pechersky"
"160","61","45","10","3","old_brick","good","50400","$","Shevchenkovsky"
"161","61","45","8","3","ukrainian_brick","euro","47000","$","Holosiivsky"
"162","46","17","8","1","ukrainian_brick","good","36000","$","Sviatoshynsky"
"163","112","55","35","3","monolyth_concrete","repair_unfinished","274400","$","Pechersky"
"164","106","50","50","3","","euro","375000","$","Holosiivsky"
"165","121","65","56","4","","euro","445000","$","Holosiivsky"
"166","112","55","55","3","","euro","445000","$","Pechersky"
"167","98","54","12","3","ukrainian_panel","euro","85000","$","Darnitsky"
"168","57","30","25","2","monolyth_concrete","euro","76000","$","Solomensky"
"169","75","40","12","3","monolyth_concrete","from_builders(planirovka)","1381000","uah","Solomensky"
"170","95","65","28","4","ukrainian_brick","euro","239900","$","Shevchenkovsky"
"171","36","15","12","1","monolyth_concrete","from_builders(planirovka)","684000","uah","Solomensky"
"172","61","31","9","2","ukrainian_brick","euro","64000","$","Darnitsky"
"173","107","50","34","4","before_revolution","euro","207000","$","Shevchenkovsky"
"174","86","25","35","3","Stalinka","euro","215000","$","Pechersky"
"175","150","74","30","3","ukrainian_brick","euro","265000","$","Pechersky"
"176","120","56","34","4","ukrainian_brick","euro","109000","$","Darnitsky"
"177","34","17","8","1","ukrainian_panel","good","31500","$","Sviatoshynsky"
"178","62","45","7-May","3","panel","good","40000","$","Sviatoshynsky"
"179","41","18","13","1","monolyth_concrete","from_builders(planirovka)","41000","$","Dneprovsky"
"180","85","49","15","2","monolyth_concrete","from_builders(planirovka)","63900","$","Shevchenkovsky"
"181","170","67","13","5","ukrainian_brick","euro","175000","$","Holosiivsky"
"182","89","51","11","3","ukrainian_brick","good","275000","$","Pechersky"
"183","50","30","10","2","ukrainian_panel","euro","54500","$","Holosiivsky"
"184","70","41","8","3","","repair_unfinished","68540","$","Obolon"
"185","52","34","8","2","ukrainian_panel","euro","57000","$","Dneprovsky"
"186","110","58","19","3","","good","173000","$","Pechersky"
"187","83","44","15","2","ukrainian_brick","euro","127000","$","Holosiivsky"
"188","110","39","30","3","ukrainian_brick","euro","300000","$","Shevchenkovsky"
"189","60","40","14","2","ukrainian_brick","euro","73000","$","Darnitsky"
"190","89","68","7","4","Stalinka","good","106800","$","Shevchenkovsky"
"191","37","16","13","1","monolyth_concrete","from_builders(planirovka)","710000","uah","Solomensky"
"192","64","29","12","2","","euro","105000","$","Solomensky"
"193","81","40","13","3","ukrainian_brick","euro","138000","$","Podolsky"
"194","57","29","13","2","monolyth_concrete","from_builders(otdelka)","769500","uah","Sviatoshynsky"
"195","32","15","6","1","ukrainian_brick","good","35000","$","Shevchenkovsky"
"196","194","105","22","4","ukrainian_brick","euro","999000","$","Pechersky"
"197","81","43","9","3","monolyth_concrete","satisfactory","75000","$","Darnitsky"
"198","70","40","11","2","ukrainian_brick","satisfactory","109900","$","Obolon"
"199","54.3","30-May","8-Jul","2","panel","cosmetic_repair_needed","42000","$","Darnitsky"
"200","77","33","13","2","monolyth_concrete","from_builders(planirovka)","60000","$","Darnitsky"
"201","72","38","15","2","ukrainian_brick","good","67000","$","Darnitsky"
"202","97","42","14","3","monolyth_concrete","from_builders(planirovka)","109000","$","Shevchenkovsky"
"203","79","38","15","2","monolyth_concrete","from_builders(planirovka)","70000","$","Darnitsky"
"204","62","34","12","2","monolyth_concrete","from_builders(planirovka)","1143000","uah","Solomensky"
"205","100","47","14","3","ukrainian_brick","serious_repair_needed","158000","$","Shevchenkovsky"
"206","180","150","25","4","ukrainian_panel","euro","340000","$","Podolsky"
"207","31","18","5","1","ukrainian_brick","good","40000","$","Holosiivsky"
"208","64","30","20","1","","euro","255000","$","Holosiivsky"
"209","62","13","30","1","","euro","225000","$","Holosiivsky"
"210","116","74","19","3","","euro","218000","$","Holosiivsky"
"211","130.9","97.7","13-May","4","Stalinka","good","349000","$","Pechersky"
"212","97","47","12","3","monolyth_concrete","good","73000","$","Darnitsky"
"213","67","33","15","2","monolyth_concrete","from_builders(planirovka)","73000","$","Dneprovsky"
"214","50","31","7","2","ukrainian_brick","euro","72000","$","Podolsky"
"215","72","42.3","9-Feb","3","ukrainian_brick","euro","85000","$","Solomensky"
"216","100","62","11-May","3","Stalinka","cosmetic_repair_needed","340000","$","Pechersky"
"217","288","120","55","5","","good","349000","$","Pechersky"
"218","95","65","28","4","ukrainian_brick","euro","239900","$","Pechersky"
"219","91","45","27","2","monolyth_concrete","euro","206000","$","Shevchenkovsky"
"220","145","110","27","3","ukrainian_brick","euro","169000","$","Shevchenkovsky"
"221","130","100","20","3","monolyth_concrete","euro","170000","$","Solomensky"
"222","43","20","12","1","ukrainian_brick","from_builders(otdelka)","36000","$","Solomensky"
"223","48","32","7","2","ukrainian_brick","serious_repair_needed","30000","$","Dneprovsky"
"224","153","90","22","4","","from_builders(planirovka)","244800","$","Pechersky"
"225","130","68","15","3","","from_builders(planirovka)","188000","$","Pechersky"
"226","123","65","22","3","ukrainian_brick","euro","205000","$","Obolon"
"227","55","38","8","2","","euro","49500","$","Sviatoshynsky"
"228","75","44","14","3","monolyth_concrete","good","75000","$","Holosiivsky"
"229","190","120","50","4","ukrainian_brick","good","399999","$","Shevchenkovsky"
"230","60","35","8","2","Stalinka","good","140000","$","Shevchenkovsky"
"231","70","18","38","2","ukrainian_brick","euro","120000","$","Dneprovsky"
"232","44","17","22","2","ukrainian_brick","euro","130000","$","Shevchenkovsky"
"233","96","49","13","3","ukrainian_brick","euro","112000","$","Dneprovsky"
"234","73","35","12","2","panel","euro","87000","$","Podolsky"
"235","60","38","19","2","ukrainian_brick","euro","150000","$","Obolon"
"236","96","54","11","3","","euro","120000","$","Pechersky"
"237","44","17","11","1","panel","euro","45000","$","Darnitsky"
"238","78","40","24","4","monolyth_concrete","euro","97000","$","Dneprovsky"
"239","73","41","16","3","ukrainian_brick","euro","95000","$","Dneprovsky"
"240","26","16","5","1","monolyth_concrete","euro","27000","$","Desniansky"
"241","138","88","19","3","ukrainian_brick","euro","150000","$","Sviatoshynsky"
"242","40","15","15","1","ukrainian_brick","euro","124000","$","Pechersky"
"243","100","57","11","2","ukrainian_brick","from_builders(otdelka)","154999","$","Pechersky"
"244","64","32","12","2","ukrainian_panel","euro","72000","$","Darnitsky"
"245","64","33","10","2","ukrainian_panel","euro","69000","$","Holosiivsky"
"246","55","32","9","2","ukrainian_panel","serious_repair_needed","43500","$","Holosiivsky"
"247","62","30","20","2","ukrainian_brick","euro","87000","$","Solomensky"
"248","50","15","20","1","ukrainian_brick","euro","82000","$","Solomensky"
"249","40","15","13","1","ukrainian_brick","from_builders(planirovka)","34000","$","Holosiivsky"
"250","70","40","12","2","monolyth_concrete","euro","85000","$","Darnitsky"
"251","55","32","8","2","ukrainian_panel","good","55000","$","Darnitsky"
"252","145","82","27","3","","euro","170000","$","Shevchenkovsky"
"253","103","59.8","11","3","ukrainian_brick","euro","120000","$","Obolon"
"254","274","173","16","5","monolyth_concrete","from_builders(planirovka)","399900","$","Sviatoshynsky"
"255","61","40","8","3","Stalinka","euro","115000","$","Pechersky"
"256","61","31","7","3","ukrainian_brick","euro","100000","$","Pechersky"
"257","106.5","60","30","3","monolyth_concrete","from_builders(otdelka)","235000","$","Holosiivsky"
"258","57","30","16","2","Stalinka","euro","85000","$","Pechersky"
"259","125","57","34","3","","from_builders(planirovka)","200000","$","Pechersky"
"260","53","30","10","2","panel","good","44800","$","Desniansky"
"261","148","78","17","3","before_revolution","good","448999","$","Shevchenkovsky"
"262","60","31","14","2","ukrainian_brick","from_builders(otdelka)","49000","$","Holosiivsky"
"263","82","42","16","2","ukrainian_brick","from_builders(otdelka)","85000","$","Holosiivsky"
"264","97","58","13","3","ukrainian_brick","good","149000","$","Pechersky"
"265","121","66","16","3","ukrainian_brick","euro","212000","$","Obolon"
"266","58","34","9","2","old_brick","satisfactory","97000","$","Pechersky"
"267","118","68","18","3","ukrainian_brick","euro","165000","$","Holosiivsky"
"268","56","22","14","1","ukrainian_brick","good","75000","$","Holosiivsky"
"269","62","23","17","1","ukrainian_brick","good","80000","$","Shevchenkovsky"
"270","52","18","17","2","ukrainian_brick","euro","148000","$","Pechersky"
"271","52","15","16","1","ukrainian_brick","euro","78000","$","Shevchenkovsky"
"272","34","18","7","1","old_brick","good","43000","$","Holosiivsky"
"273","133","63","22","3","ukrainian_brick","repair_unfinished","252999","$","Holosiivsky"
"274","97","55","12","2","ukrainian_brick","from_builders(planirovka)","155000","$","Pechersky"
"275","110","62","18","3","ukrainian_brick","euro","107000","$","Darnitsky"
"276","230","115","45","4","ukrainian_brick","from_builders(planirovka)","201000","$","Holosiivsky"
"277","51","20","11","1","monolyth_concrete","euro","70000","$","Dneprovsky"
"278","38","18","8-May","1","panel","serious_repair_needed","35000","$","Obolon"
"279","69","51.6","8-May","3","ukrainian_panel","euro","72000","$","Obolon"
"280","73","41","9","3","panel","satisfactory","65000","$","Obolon"
"281","61","45","8","3","panel","good","42000","$","Desniansky"
"282","45","20","20","1","ukrainian_panel","euro","58000","$","Obolon"
"283","50","18","18","1","monolyth_concrete","euro","67000","$","Darnitsky"
"284","54","30","8","2","monolyth_concrete","euro","64500","$","Darnitsky"
"285","74","26","23","2","ukrainian_brick","euro","110000","$","Dneprovsky"
"286","42","28","6","2","ukrainian_brick","cosmetic_repair_needed","44500","$","Dneprovsky"
"287","67","41","8","3","ukrainian_brick","good","44000","$","Desniansky"
"288","80","36","16","2","monolyth_concrete","euro","100000","$","Dneprovsky"
"289","64","33","10","2","ukrainian_panel","euro","69000","$","Holosiivsky"
"290","79","52","16","2","monolyth_concrete","euro","110000","$","Dneprovsky"
"291","90","40","16","2","ukrainian_brick","euro","185000","$","Pechersky"
"292","100","41","26","3","ukrainian_brick","euro","139000","$","Pechersky"
"293","86","51","14","3","monolyth_concrete","euro","115000","$","Dneprovsky"
"294","51.2","24","17","1","monolyth_concrete","from_builders(otdelka)","86272","$","Podolsky"
"295","46","30","12","2","monolyth_concrete","euro","137000","$","Pechersky"
"296","54","25","17","1","monolyth_concrete","repair_unfinished","140000","$","Pechersky"
"297","53","16","24","2","monolyth_concrete","repair_unfinished","140000","$","Pechersky"
"298","60","17","18","1","ukrainian_brick","euro","73000","$","Holosiivsky"
"299","60","17","33","2","ukrainian_brick","euro","90000","$","Holosiivsky"
"300","52","33","7","2","ukrainian_panel","good","57000","$","Dneprovsky"
"301","100","51","16","3","monolyth_concrete","euro","145000","$","Darnitsky"
"302","78","50","9","3","monolyth_concrete","good","70000","$","Darnitsky"
"303","60","41","7","2","ukrainian_panel","good","46000","$","Sviatoshynsky"
"304","66","41","8","3","ukrainian_panel","good","46500","$","Sviatoshynsky"
"305","68","42","7-May","4","ukrainian_panel","good","46500","$","Sviatoshynsky"
"306","40","20","9","1","panel","satisfactory","62000","$","Holosiivsky"
"307","55","32","8","2","ukrainian_brick","euro","45000","$","Desniansky"
"308","90","51","9","4","ukrainian_panel","good","86000","$","Darnitsky"
"309","98","65","15","2","ukrainian_brick","euro","195000","$","Pechersky"
"310","150","75","40","3","before_revolution","euro","290000","$","Pechersky"
"311","153","93","23","3","ukrainian_brick","euro","385000","$","Pechersky"
"312","155","80","15","4","ukrainian_brick","euro","395000","$","Obolon"
"313","136","83","20","3","ukrainian_brick","euro","388000","$","Podolsky"
"314","73","48","13","2","ukrainian_brick","euro","300000","$","Pechersky"
"315","133","65","22","3","ukrainian_brick","from_builders(otdelka)","253000","$","Holosiivsky"
"316","54","22","10","2","ukrainian_brick","euro","104000","$","Shevchenkovsky"
"317","52","30","9","2","Stalinka","euro","102000","$","Pechersky"
"318","52","30","8","2","ukrainian_brick","euro","65000","$","Solomensky"
"319","65","34","20","2","before_revolution","euro","97000","$","Shevchenkovsky"
"320","150","74","30","3","Stalinka","euro","265000","$","Pechersky"
"321","48","16","18","1","ukrainian_brick","from_builders(otdelka)","136000","$","Pechersky"
"322","53","18","26","1","ukrainian_brick","euro","84000","$","Shevchenkovsky"
"323","112","52","25","4","monolyth_concrete","euro","95000","$","Darnitsky"
"324","46","14","21","1","ukrainian_brick","euro","58000","$","Holosiivsky"
"325","115","60","20","3","monolyth_concrete","euro","129000","$","Solomensky"
"326","117","71","20","3","ukrainian_brick","good","195000","$","Obolon"
"327","48","18","14","1","monolyth_concrete","from_builders(otdelka)","42500","$","Dneprovsky"
"328","51","20","11","1","monolyth_concrete","euro","70000","$","Dneprovsky"
"329","78","45","9","3","panel","good","48900","$","Desniansky"
"330","42.18","Nov-13","15-Jun","1","ukrainian_brick","euro","62000","$","Obolon"
"331","108","50.7","18","3","","euro","128900","$","Obolon"
"332","36","18","10","1","panel","euro","42000","$","Obolon"
"333","86","50","25","3","monolyth_concrete","euro","88000","$","Desniansky"
"334","82","42","14","2","monolyth_concrete","euro","93000","$","Desniansky"
"335","39","23","5","1","monolyth_concrete","euro","58500","$","Holosiivsky"
"336","105","60","18","3","ukrainian_brick","euro","122000","$","Darnitsky"
"337","120","59","21","3","ukrainian_brick","from_builders(otdelka)","370000","$","Pechersky"
"338","110","55","20","3","ukrainian_brick","euro","109000","$","Shevchenkovsky"
"339","117","60","23","3","ukrainian_brick","euro","149000","$","Darnitsky"
"340","80","44","16","3","ukrainian_brick","euro","105000","$","Darnitsky"
"341","40","19","14","1","monolyth_concrete","euro","56000","$","Darnitsky"
"342","105","54","25","3","monolyth_concrete","euro","85000","$","Darnitsky"
"343","63","29","14","2","monolyth_concrete","euro","67500","$","Darnitsky"
"344","31","18","5","1","monolyth_concrete","euro","46500","$","Darnitsky"
"345","50","20","15","1","ukrainian_brick","euro","57000","$","Darnitsky"
"346","42","17","12","1","monolyth_concrete","euro","55000","$","Darnitsky"
"347","67","36","12","2","monolyth_concrete","euro","65000","$","Holosiivsky"
"348","122","68","14","3","ukrainian_brick","from_builders(planirovka)","120000","$","Solomensky"
"349","39","22","13","1","ukrainian_panel","repair_unfinished","27000","$","Sviatoshynsky"
"350","68","32","15","2","monolyth_concrete","euro","138000","$","Shevchenkovsky"
"351","44","27","6","2","ukrainian_brick","good","66500","$","Shevchenkovsky"
"352","41","24","14","1","monolyth_concrete","euro","119000","$","Pechersky"
"353","75","45","16","2","monolyth_concrete","euro","194000","$","Podolsky"
"354","46","15","25","1","monolyth_concrete","euro","71500","$","Dneprovsky"
"355","60","28","24","2","monolyth_concrete","euro","79000","$","Holosiivsky"
"356","80","45","14","2","ukrainian_brick","euro","87000","$","Holosiivsky"
"357","52","17","19","1","ukrainian_brick","euro","90000","$","Holosiivsky"
"358","88","50","10","3","monolyth_concrete","euro","84000","$","Holosiivsky"
"359","186","110","65","6","ukrainian_brick","euro","500000","$","Pechersky"
"360","95","56","11","3","Stalinka","euro","170000","$","Pechersky"
"361","140","45","53","3","ukrainian_brick","euro","185000","$","Podolsky"
"362","287","153","37","5","ukrainian_brick","from_builders(otdelka)","640000","$","Pechersky"
"363","75","27","20","2","ukrainian_brick","euro","76000","$","Obolon"
"364","123","64","18","3","ukrainian_brick","euro","200000","$","Obolon"
"365","37","18","9","1","monolyth_concrete","euro","53000","$","Darnitsky"
"366","85.2","49.5","13-Mar","3","monolyth_concrete","cosmetic_repair_needed","90000","$","Dneprovsky"
"367","35","18","7","1","Stalinka","euro","52000","$","Shevchenkovsky"
"368","555","370","32","6","ukrainian_brick","euro","1530000","$","Pechersky"
"369","40","30","10","1","ukrainian_brick","euro","85000","$","Shevchenkovsky"
"370","66","27","13","1","ukrainian_brick","from_builders(otdelka)","111010","$","Podolsky"
"371","83","36","18","2","ukrainian_brick","from_builders(otdelka)","147960","$","Podolsky"
"372","32","20","8","1","ukrainian_brick","euro","85000","$","Pechersky"
"373","44","28","7","2","old_brick","good","45000","$","Solomensky"
"374","73","42","9","3","","euro","58000","$","Dneprovsky"
"375","79","47","13","2","","euro","121000","$","Solomensky"
"376","43","18","11","1","monolyth_concrete","from_builders(otdelka)","45000","$","Dneprovsky"
"377","20","17","3","1","old_brick","good","15000","$","Shevchenkovsky"
"378","107","75","12-May","4","ukrainian_panel","euro","155000","$","Obolon"
"379","95","60","12","3","before_revolution","good","120000","$","Holosiivsky"
"380","45","18","12-May","1","ukrainian_brick","good","52000","$","Obolon"
"381","74","36","12","2","monolyth_concrete","euro","77000","$","Darnitsky"
